sepal_length,sepal_width,petal_length,petal_width,target,prediction
5.2,3.6541084952982894,2.5,0.2,0,0
6.8,3.1334912356077527,6.5,2.1,2,2
6.1,3.095276786116932,5.6,1.4,1,1
6.7,2.927339019996509,6.8,1.8,2,1
6.4,2.8650691684301774,6.3,2.3,2,2
5.4,3.933000401074274,2.7,0.2,0,0
6.4,3.2058708645401475,5.5,1.5,1,1
6.1,2.6757911570865835,6.6,1.4,2,1
4.8,3.318209104588849,2.6,0.2,0,0
5.5,2.806011697836899,5.0,1.3,1,1
6.6,2.8616253760202928,5.6,1.3,1,1
6.6,2.367502944031411,5.4,1.4,1,1
5.0,2.0399679147140826,4.5,1.0,1,1
6.5,2.976743827038628,6.1,2.0,2,1
4.9,3.5013754942207025,2.4,0.1,0,0
5.5,2.4081545554748107,4.8,1.1,1,1
6.7,3.3862177774844917,6.2,2.3,2,2
7.4,2.4946498009555413,7.1,1.9,2,1
6.1,2.9940291340081617,5.0,1.3,1,1
5.9,2.9745818974990206,6.1,1.8,2,2
6.0,3.1139464225860767,5.5,1.6,1,1
6.0,2.5176608671904033,5.0,1.0,1,1
5.8,2.424585729497809,5.0,1.2,1,1
5.4,3.308156416985195,2.7,0.2,0,0
6.2,3.323224764127146,5.8,1.8,2,1
6.0,3.632590194544919,5.5,1.6,1,1
6.3,3.013548086401147,5.7,1.6,1,1
6.4,2.970340473078436,6.5,1.8,2,1
6.3,3.034710264726599,6.1,1.5,2,1
6.6,2.703252246849003,5.6,1.3,1,1
